device_eui,name,time,position,message_id
000DB53908803674,admin,2017-09-22T08:18:34.025Z,"{""latitude"":1.321362,""longitude"":104.02261999999999}",-1
000DB53905613665,admin,2017-09-22T08:45:22.814Z,"{""latitude"":1.321558,""longitude"":104.02257}",-1
000DB539066E3654,admin,2017-09-22T09:07:52.816Z,"{""latitude"":1.321645,""longitude"":104.02264799999999}",-1
000DB5390851366B,admin,2017-09-22T09:28:02.823Z,"{""latitude"":1.321697,""longitude"":104.022397}",-1
000DB539066E3654,admin,2017-09-22T10:25:52.557Z,"{""latitude"":1.3215,""longitude"":104.02260799999999}",-1
000DB53908813667,admin,2017-09-22T11:15:39.235Z,"{""latitude"":1.3222429999999998,""longitude"":104.022373}",-1
000DB53906623658,admin,2017-09-22T11:37:24.552Z,"{""latitude"":1.3220699999999999,""longitude"":104.029263}",-1
000DB53908723666,admin,2017-09-22T12:07:05.820Z,"{""latitude"":1.323183,""longitude"":104.023805}",-1
000DB53908813667,admin,2017-09-22T14:00:38.482Z,"{""latitude"":1.323157,""longitude"":104.02108199999999}",-1
000DB53906703661,admin,2017-09-22T14:06:46.984Z,"{""latitude"":1.328533,""longitude"":104.020737}",-1
000DB539066E3654,admin,2017-09-22T14:26:51.338Z,"{""latitude"":1.321957,""longitude"":104.022202}",-1
000DB53908813667,admin,2017-09-22T15:36:39.699Z,"{""latitude"":1.321815,""longitude"":104.02255}",-1
000DB53908803674,admin,2017-09-22T16:32:31.566Z,"{""latitude"":1.321357,""longitude"":104.022645}",-1
000DB53906623658,admin,2017-09-22T16:57:43.282Z,"{""latitude"":1.3221399999999999,""longitude"":104.022595}",-1
000DB53908603666,admin,2017-09-23T14:23:50.355Z,"{""latitude"":1.3210979999999999,""longitude"":104.02851199999999}",-1
000DB5390663365D,admin,2017-09-23T14:23:57.342Z,"{""latitude"":1.3210119999999999,""longitude"":104.028745}",-1
000DB53905693663,admin,2017-09-23T14:25:44.628Z,"{""latitude"":1.321022,""longitude"":104.02851}",-1
000DB5390361367B,admin,2017-09-23T14:28:21.179Z,"{""latitude"":1.321037,""longitude"":104.02865}",-1
000DB53908603666,admin,2017-09-23T21:23:47.370Z,"{""latitude"":1.318395,""longitude"":104.016578}",-1
000DB53906703661,admin,2017-09-23T21:34:12.960Z,"{""latitude"":1.3185,""longitude"":104.016983}",-1
000DB53908803674,admin,2017-09-23T22:33:40.806Z,"{""latitude"":1.3229119999999999,""longitude"":104.024315}",-1
000DB53905613665,admin,2017-09-23T22:35:33.294Z,"{""latitude"":1.322918,""longitude"":104.024063}",-1
000DB53906703661,admin,2017-09-24T03:39:11.322Z,"{""latitude"":1.31791,""longitude"":104.016877}",-1
000DB53908803674,admin,2017-09-24T11:52:38.939Z,"{""latitude"":1.322843,""longitude"":104.02360499999999}",-1
000DB53905613665,admin,2017-09-24T12:03:30.979Z,"{""latitude"":1.323758,""longitude"":104.023703}",-1
000DB53904663660,admin,2017-09-25T10:21:50.164Z,"{""latitude"":1.322163,""longitude"":104.02237699999999}",-1
000DB539066E3654,admin,2017-09-25T10:25:19.904Z,"{""latitude"":1.321337,""longitude"":104.021923}",-1
000DB5390851366B,admin,2017-09-25T14:43:52.869Z,"{""latitude"":1.3215869999999998,""longitude"":104.022598}",-1
000DB53904663660,admin,2017-09-25T15:14:48.337Z,"{""latitude"":1.32236,""longitude"":104.02260299999999}",-1
000DB539055F3662,admin,2017-09-25T16:12:04.050Z,"{""latitude"":1.322288,""longitude"":104.02264799999999}",-1
000DB5390677365D,admin,2017-09-25T17:10:50.085Z,"{""latitude"":1.321102,""longitude"":104.028567}",-1
000DB5390862366B,admin,2017-09-25T17:10:55.518Z,"{""latitude"":1.321202,""longitude"":104.02842799999999}",-1
000DB53906643664,admin,2017-09-25T17:11:04.340Z,"{""latitude"":1.321192,""longitude"":104.02882699999999}",-1
000DB5320A8F3452,admin,2017-09-25T17:11:08.132Z,"{""latitude"":1.321057,""longitude"":104.028818}",-1
000DB5390851366B,admin,2017-09-25T17:12:51.663Z,"{""latitude"":1.321053,""longitude"":104.02842299999999}",-1
000DB5320A70344D,admin,2017-09-25T17:12:59.120Z,"{""latitude"":1.320927,""longitude"":104.028638}",-1
000DB539055F3662,admin,2017-09-25T17:13:03.734Z,"{""latitude"":1.3210979999999999,""longitude"":104.028618}",-1
000DB53906603659,admin,2017-09-25T17:13:10.763Z,"{""latitude"":1.321095,""longitude"":104.028542}",-1
000DB53908583675,admin,2017-09-25T17:16:24.890Z,"{""latitude"":1.32037,""longitude"":104.02641}",-1
000DB53903543675,admin,2017-09-25T17:16:34.829Z,"{""latitude"":1.3201969999999998,""longitude"":104.02625499999999}",-1
000DB539035D3678,admin,2017-09-25T17:16:40.486Z,"{""latitude"":1.320165,""longitude"":104.025728}",-1
